Scene,Scene ID,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22
A&W2,DSC_0730.NEF,-1.0061693151427546,0.0007648350848319224,4301.1903903111,0.0068458811407455045,-1.0015674475248282,3104.413684411669,-6.69057265801283e-07,3.849902946018841e-06,1.0
A&W2,DSC_0731.NEF,-1.001235004401592,-0.002054705685333468,4283.628846161615,0.0027958961843382872,-0.9950565905520941,3100.437483090313,-2.091167002102791e-06,2.7872547485176813e-06,0.9999999999999999
A&W2,DSC_0732.NEF,-1.003816786534799,-0.0011295709303360281,4294.180902650548,0.004443908313813489,-0.99597526259821,3097.486523749116,-1.974223955821985e-06,4.201040604316892e-06,1.0
A&W2,DSC_0733.NEF,-1.0042580448364729,8.86506250855424e-05,4294.7310259153655,0.004330487799866867,-0.9971564580548105,3099.3320526382863,-1.466086035685319e-06,3.848947207169187e-06,0.9999999999999999
A&W2,DSC_0734.NEF,-1.0061886857884024,0.0030171982817969387,4296.823392805723,0.0036093924630343013,-0.9956275686973105,3101.7855223419615,-1.911282020163869e-06,5.5371900750527445e-06,1.0
A&W2,DSC_0735.NEF,-1.0045152560557091,-0.0004580080807422925,4299.765739094544,0.006174750197875454,-0.9990291094591164,3095.8571416229397,-1.1903740459098233e-06,4.05637924058539e-06,1.0
A&W2,DSC_0736.NEF,-1.0028300895817646,-0.0002267552812801728,4285.666491226444,0.0018136130095832077,-0.9945803698098287,3094.411054001168,-2.643342575666017e-06,3.7772512419595887e-06,1.0
A&W2,DSC_0737.NEF,-1.0047751834260077,-0.0020421131248139564,4302.980669375144,0.00566524076896633,-0.9996485559332488,3098.821335102093,-3.8316325382928003e-07,2.9244261983808077e-06,1.0
A&W2,DSC_0738.NEF,-1.0008414200649902,-0.001322901206875075,4280.4749424951915,0.0036296911210080707,-0.9931172866454033,3084.1775070056024,-3.4947662972128975e-06,3.842528057185588e-06,1.0
A&W2,DSC_0739.NEF,-1.0044879115063785,-0.0007414075949778733,4297.613205463342,0.0068743324269179,-1.0008864179379626,3098.7582736685226,-2.432741917786234e-07,3.0048891586639134e-06,1.0
A&W2,DSC_0740.NEF,-1.0094678154435435,0.0030040767440264542,4312.281981711049,0.007479734303961803,-1.0009901504298646,3100.805870640626,-5.383510726713604e-07,6.174921540473751e-06,1.0
A&W2,DSC_0741.NEF,-1.0034662379816002,-0.001849333566015172,4295.406814149467,0.005711152745623917,-0.9982996992898763,3092.6238232274286,-1.2949182748870825e-06,3.51435342191885e-06,1.0
A&W2,DSC_0742.NEF,-1.0084861400259277,0.0007048672977052726,4314.1456172964245,0.006594106081555183,-1.0047464280220364,3111.884944751286,2.4835521523013566e-07,4.514249590418694e-06,1.0
A&W2,DSC_0743.NEF,-1.0014752190070453,-0.0021378029155468144,4287.483716240506,0.003961479495355352,-0.9964324790995527,3089.658913961458,-1.6499429731438963e-06,2.6628281862825665e-06,1.0
A&W2,DSC_0744.NEF,-1.0117888196962899,0.002823956227635272,4320.671581762236,0.00856754162869421,-1.0019312255238706,3110.8393222046366,8.623241715107352e-08,6.19959650903507e-06,1.0
A&W2,DSC_0745.NEF,-1.0050984348637013,-0.0001999987776085833,4297.951481219526,0.005242467887795101,-1.000168774263314,3109.4287764627197,-1.0051789169557497e-06,4.04502625615441e-06,0.9999999999999999
A&W2,DSC_0746.NEF,-1.0033807502176888,-0.00039018469882327823,4289.3668521907575,0.004366797940274777,-0.9969979505300323,3104.3482103492697,-1.765941571109766e-06,3.819064925222416e-06,1.0
A&W2,DSC_0747.NEF,-1.002412991729334,-0.0025079447060019936,4288.75853786585,0.0043243160492799325,-0.9977442377886215,3103.8012351327334,-1.478676799845747e-06,2.785424677804106e-06,0.9999999999999999
A&W2,DSC_0748.NEF,-1.001911694307129,-0.001295499808213361,4283.2254323635325,0.004861336626481233,-0.9960206969685425,3098.1998762442386,-2.302900268614842e-06,3.30234399277595e-06,1.0
A&W2,DSC_0749.NEF,-1.005303314674208,0.00015525867903675076,4296.907139260407,0.005078977454922707,-0.9996221294970036,3109.0662361525447,-1.0044288545950647e-06,3.99739083454597e-06,1.0
A&W2,DSC_0750.NEF,-1.002559240989746,-0.0020559493081645968,4287.943262505251,0.0036491933867908587,-0.9971069484041445,3104.584802936778,-1.5928237782480137e-06,2.918269034615949e-06,1.0
A&W2,DSC_0751.NEF,-1.0015839462844358,-0.0022684577097846115,4283.12035849726,0.0034475064932571456,-0.9957129901454939,3100.197493370842,-2.057826810284619e-06,2.6891093001139302e-06,1.0
A&W2,DSC_0752.NEF,-1.0035462791729957,-0.0017540494317451793,4291.636382949611,0.005248595934003079,-0.9979966281338878,3102.0359686137667,-1.1925690834338033e-06,2.901697524141755e-06,1.0
A&W2,DSC_0753.NEF,-1.0033636862339916,-0.0014753702109138159,4291.29184627358,0.004766536119568438,-0.9974545425747763,3102.248771363287,-1.6438939652127375e-06,3.7698575451797007e-06,1.0
